Guideline ID,Section,Question,
NG148,1.5,When should an individual with upper tract urological obstruction be immediately referred to a urologist?,
NG243,1.7, What is the recommended emergency management protocol for adults with suspected adrenal crisis?,
NG242,1.4,What is the recommended monitoring schedule by hospital eye services for people with moderate non-proliferative diabetic retinopathy not currently receiving treatment?,
NG137,1.5,When should a single cervical length scan be given to pregnant women with a twin pregnancy?,
NG241,1.8, When should risk-reducing surgery for ovarian cancer be offered to individuals?,
NG240,1.1, What risk factors should prompt heightened clinical alertness for bacterial meningitis?,
NG195,1.1,What advice should be given to parents and carers of babies before discharge about when to seek urgent medical help?,
NG51,1.14,What are the recommended antibiotic treatments for newborn babies under 28 days presenting with suspected sepsis?,
NG122,1.4,What smoking advice and interventions should be provided to people with suspected lung cancer?,
NG239,1.5,What are the recommendations for vitamin B12 replacement in adults with suspected malabsorption as the cause of vitamin B12 deficiency?,
NG33,1.7,In which circumstances should directly observed therapy be offered as part of case management for people with tuberculosis?,
NG192,1.4,What is the standardised classification scheme for documenting the urgency of caesarean?,
CG185,1.2,When should a person with bipolar disorder being managed in primary care be re-referred to secondary care?,
NG238,1.12,What combination treatments should not be offered with statins for the prevention of cardiovascular disease?,
NG198,1.5,What are the recommended first-line treatment options for acne?,
CG109,1.1,What abnormalities should a trained healthcare professional look for in a manual 12-lead ECG when automated interpretation is not available for someone with transient loss of consciousness?,
NG136,1.4,What lifestyle advice should be offered to people with suspected or diagnosed hypertension to help lower blood pressure?,
NG237,1.3,How is the CRB65 score used to assess the risk of death in people with pneumonia?,
CG164,1.4,When should clinicians seek advice from a specialist genetics service for families with a history of breast cancer?,
CG98,1.2,What factors identify babies as being at increased risk of developing significant hyperbilirubinaemia?,
CG191,1.2,When should discharge be delayed or avoided in people with community-acquired pneumonia?,
NG236,1.13,When and how should mirror therapy be used as part of stroke rehabilitation for people with upper limb weakness?,
NG145,1.2,What tests should be considered for adults with suspected thyroid dysfunction?,
CG122,1.2,Which tumour markers should be measured in women with suspected ovarian cancer?,
CG148,1.4,What are the recommended treatment options for neurogenic stress urinary incontinence?,
NG127,1.7,What is the recommended initial management for adults presenting with compression neuropathy?,
NG98,1.3,When should MRI of the internal auditory meati be considered for adults with hearing loss?,
NG235,1.8,What guidance should be given to women about drinking and eating during labour?,
NG50,1.1, What risk factors are associated with an increased risk of cirrhosis?,
NG234,1.7,What are the recommendations for using bisphosphonates in people with spinal involvement from myeloma?,
NG233,1.6,What are the recommendations for managing otorrhoea after grommet insertion in children?,
NG126,1.5,What is the recommended management for women presenting with threatened miscarriage?,
NG158,1.6,When should catheter-directed thrombolytic therapy be considered for people with symptomatic iliofemoral deep vein thrombosis?,
NG83,1.4,What treatment options should be offered to people with localized oesophageal or oesophago?gastric junctional adenocarcinoma (non?T1N0) who are planned for surgical resection?,
CG57,1.1,What diagnostic criteria should be used to diagnose atopic eczema in children?,
NG232,1.5,What are the criteria for performing a CT head scan in adults after a head injury?,
NG18,1.2,What are the target blood glucose levels for children with type 1 diabetes?,
CG104,1.2,What initial investigations should be offered to a patient presenting with malignancy of unknown origin?,
NG133,1.4,What risk factors in women with gestational hypertension require closer monitoring and follow-up?,
NG231,1.7,What non-surgical treatments are recommended for T1b oesophageal adenocarcinoma in patients unfit for surgery?,
CG103,1.2,What risk factors for delirium should be assessed when a patient first presents to a hospital?,
NG213,1.4,What actions should be taken if parents or carers decline an EHC plan for a disabled child?,
CG124,1.8, What multidisciplinary components should a formal hip fracture programme include from admission?,
NG230,1.4,Which patients with thyroid cancer should not be offered TSH suppression therapy?,
NG230,1.1,What information should be given to people with suspected thyroid cancer about the benefits and short and long term risks of radioactive iodine therapy?,
NG229,1.3,Which intrapartum risk factors indicate that continuous CTG monitoring should be used during labour?,
NG228,1.2,What is the recommended use of enteral versus intravenous nimodipine in managing a confirmed aneurysmal subarachnoid hemorrhage?,
NG37,1.1,Where should people with suspected pelvic fractures be transported?,
NG226,1.1,When can osteoarthritis be diagnosed clinically without the need for imaging?,
NG17,1.5,What advice should be given to adults with type 1 diabetes who want to increase physical activity?,
NG112,1.2,When should methenamine hippurate be considered for recurrent UTI prophylaxis?,
NG245,1.3,What is the initial management for suspected asthma in children under 5?,
NG245,1.3,How should asthma diagnosis be approached in a 5-year-old child who cannot perform objective tests?,
NG245,1.3,Are digital inhalers recommended for use in people with asthma?,
NG23,1.6,Does hormone replacement therapy as a treatment option for menopause-associated symptoms affect life expectancy?,
NG23,1.6,Should hormone replacement therapy be offered for the prevention of cardiovascular disease?,
NG23,1.7,What are the diagnostic criteria for premature ovarian insufficiency in people under 40?,
NG23,1.8,What are the guidelines for stopping hormone replacement therapy?,
NG246,1.10.11,How should central adiposity be classified in children?,
NG246,1.18,When should an obese adult be referred for a bariatric surgery assessment?,
NG248,1.5,When should naltrexone be considered for treating gambling disorder?,
NG248,1.5,What are the recommended steps for initiating naltrexone treatment for gambling related harms?,
NG209,1.18,When should carbon monoxide testing be performed during pregnancy?,
NG209,1.18,Who should be referred to stop-smoking services during pregnancy?,
NG209,1.18,How should I manage an elevated carbon monoxide level in a pregnant patient who is a non-smoker?,
NG217,1.1,What is the referral pathway for a patient after a first suspected seizure?,
NG217,1.3,Which epilepsy patients should have an MRI scan?,
NG217,1.4,When should whole-genome sequencing be considered for a patient with epilepsy?,
NG247,1.1,Who should be prescribed high-dose folic acid during pregnancy?,
NG247,1.2,How should excessive weight gain during pregnancy be managed?,
